epoch: [0/1000], training loss: 3.169323484102885, train accuracy: 0.6185089945793152, test loss: 5.106578350067139, test accuracy: 0.6267857551574707
epoch: [25/1000], training loss: 0.09990366701132213, train accuracy: 0.8173910975456238, test loss: 0.4136160910129547, test accuracy: 0.790773868560791
epoch: [26/1000], training loss: 0.09260238162600078, train accuracy: 0.8206159472465515, test loss: 0.38914069533348083, test accuracy: 0.7967262268066406
epoch: [27/1000], training loss: 0.0863280462530943, train accuracy: 0.8258252143859863, test loss: 0.5341881513595581, test accuracy: 0.8002976179122925
epoch: [28/1000], training loss: 0.08318276779773907, train accuracy: 0.826817512512207, test loss: 0.344800740480423, test accuracy: 0.8098214864730835
epoch: [29/1000], training loss: 0.07961043285635802, train accuracy: 0.8355328440666199, test loss: 0.5113668441772461, test accuracy: 0.816964328289032
epoch: [30/1000], training loss: 0.07364761972656617, train accuracy: 0.8377654552459717, test loss: 0.3494035303592682, test accuracy: 0.805654764175415
epoch: [31/1000], training loss: 0.07076425554278569, train accuracy: 0.8411887884140015, test loss: 0.302280455827713, test accuracy: 0.8190476298332214
epoch: [32/1000], training loss: 0.06897275493695186, train accuracy: 0.845819354057312, test loss: 0.3226260542869568, test accuracy: 0.8122024536132812
epoch: [33/1000], training loss: 0.0640909095796255, train accuracy: 0.8507640361785889, test loss: 0.5694870948791504, test accuracy: 0.7997024059295654
epoch: [34/1000], training loss: 0.0732883992485511, train accuracy: 0.8496560454368591, test loss: 0.26978257298469543, test accuracy: 0.8142857551574707
epoch: [35/1000], training loss: 0.06764692182724293, train accuracy: 0.8484322428703308, test loss: 0.4402577579021454, test accuracy: 0.8217262029647827
epoch: [36/1000], training loss: 0.06755751476455958, train accuracy: 0.8515579104423523, test loss: 0.46909767389297485, test accuracy: 0.8196429014205933
epoch: [37/1000], training loss: 0.07240618010744071, train accuracy: 0.8460342884063721, test loss: 0.5563914775848389, test accuracy: 0.8029762506484985
epoch: [38/1000], training loss: 0.08324606248583549, train accuracy: 0.8439836502075195, test loss: 0.42772573232650757, test accuracy: 0.8080357313156128
epoch: [39/1000], training loss: 0.08734742150856899, train accuracy: 0.8411557078361511, test loss: 0.4323360323905945, test accuracy: 0.8199405074119568
epoch: [40/1000], training loss: 0.09029098179859993, train accuracy: 0.8419990539550781, test loss: 0.38489875197410583, test accuracy: 0.8083333969116211
epoch: [41/1000], training loss: 0.08516271909077962, train accuracy: 0.8403288125991821, test loss: 0.24204792082309723, test accuracy: 0.8238095045089722
epoch: [42/1000], training loss: 0.06251750341974772, train accuracy: 0.8629357814788818, test loss: 0.3232116997241974, test accuracy: 0.8291666507720947
epoch: [43/1000], training loss: 0.05551175362406633, train accuracy: 0.8654164671897888, test loss: 0.3174390196800232, test accuracy: 0.8348214030265808
epoch: [44/1000], training loss: 0.04114692820570408, train accuracy: 0.8815737962722778, test loss: 0.3947831988334656, test accuracy: 0.8354167342185974
epoch: [45/1000], training loss: 0.03367901235245741, train accuracy: 0.8897433280944824, test loss: 0.3004782199859619, test accuracy: 0.8407738208770752
epoch: [46/1000], training loss: 0.02794729240047626, train accuracy: 0.9004267454147339, test loss: 0.34592360258102417, test accuracy: 0.8488095998764038
epoch: [47/1000], training loss: 0.024877948782000787, train accuracy: 0.9065126180648804, test loss: 0.2938533425331116, test accuracy: 0.8422619700431824
epoch: [48/1000], training loss: 0.023948252726441775, train accuracy: 0.9096381664276123, test loss: 0.31060487031936646, test accuracy: 0.8517857789993286
epoch: [49/1000], training loss: 0.023178990739278305, train accuracy: 0.916170597076416, test loss: 0.31086987257003784, test accuracy: 0.8470238447189331
epoch: [50/1000], training loss: 0.02448031057914098, train accuracy: 0.9110769629478455, test loss: 0.352579265832901, test accuracy: 0.8461310267448425
epoch: [51/1000], training loss: 0.023371366378015433, train accuracy: 0.916534423828125, test loss: 0.2856137156486511, test accuracy: 0.8479167222976685
epoch: [52/1000], training loss: 0.02019753887389715, train accuracy: 0.9200238585472107, test loss: 0.3384283185005188, test accuracy: 0.856249988079071
epoch: [53/1000], training loss: 0.0208770746890551, train accuracy: 0.9213137626647949, test loss: 0.2533504366874695, test accuracy: 0.850595235824585
epoch: [54/1000], training loss: 0.020969843611312218, train accuracy: 0.9203712344169617, test loss: 0.3520517349243164, test accuracy: 0.8500000238418579
epoch: [55/1000], training loss: 0.02079583002397647, train accuracy: 0.9253655672073364, test loss: 0.31158992648124695, test accuracy: 0.8577381372451782
epoch: [56/1000], training loss: 0.02410241111348837, train accuracy: 0.918651282787323, test loss: 0.4535377323627472, test accuracy: 0.8494048118591309
epoch: [57/1000], training loss: 0.02273775852070405, train accuracy: 0.9204539060592651, test loss: 0.260275661945343, test accuracy: 0.853273868560791
epoch: [58/1000], training loss: 0.01984628091733425, train accuracy: 0.9235793948173523, test loss: 0.30671143531799316, test accuracy: 0.848214328289032
epoch: [59/1000], training loss: 0.02132734298132933, train accuracy: 0.9225044250488281, test loss: 0.2744145095348358, test accuracy: 0.8497023582458496
epoch: [60/1000], training loss: 0.021291790673365958, train accuracy: 0.9212972521781921, test loss: 0.2867039442062378, test accuracy: 0.8598214983940125
epoch: [61/1000], training loss: 0.020768084276754122, train accuracy: 0.9240425825119019, test loss: 0.28003981709480286, test accuracy: 0.8538690805435181
epoch: [62/1000], training loss: 0.025175458178497277, train accuracy: 0.920222282409668, test loss: 0.4046255350112915, test accuracy: 0.8485118746757507
epoch: [63/1000], training loss: 0.04437335518499216, train accuracy: 0.8879407644271851, test loss: 0.2719564735889435, test accuracy: 0.8217262029647827
epoch: [64/1000], training loss: 0.0425219036734257, train accuracy: 0.8873123526573181, test loss: 0.5119336843490601, test accuracy: 0.8497023582458496
epoch: [65/1000], training loss: 0.036765952761738725, train accuracy: 0.8927035331726074, test loss: 0.3668982684612274, test accuracy: 0.8372024297714233
epoch: [66/1000], training loss: 0.03575392762342325, train accuracy: 0.8956969976425171, test loss: 0.5873312950134277, test accuracy: 0.8494048118591309
epoch: [67/1000], training loss: 0.030667571637492914, train accuracy: 0.9081497192382812, test loss: 0.3017944097518921, test accuracy: 0.8523809313774109
epoch: [68/1000], training loss: 0.03353763046937111, train accuracy: 0.8999305963516235, test loss: 0.37811219692230225, test accuracy: 0.850595235824585
epoch: [69/1000], training loss: 0.03842240266310863, train accuracy: 0.8979625701904297, test loss: 0.5960479378700256, test accuracy: 0.8410714864730835
epoch: [70/1000], training loss: 0.05153761025613699, train accuracy: 0.8838890790939331, test loss: 0.4125747084617615, test accuracy: 0.8285714983940125
epoch: [71/1000], training loss: 0.09810844474495986, train accuracy: 0.8518720865249634, test loss: 1.0040020942687988, test accuracy: 0.7985119223594666
epoch: [72/1000], training loss: 0.4210017292927473, train accuracy: 0.77381432056427, test loss: 1.038774013519287, test accuracy: 0.6773809790611267
epoch: [73/1000], training loss: 2.6023652813373466, train accuracy: 0.6023351550102234, test loss: 4.613892555236816, test accuracy: 0.6190476417541504
epoch: [74/1000], training loss: 2.4637460188987927, train accuracy: 0.6253060102462769, test loss: 4.038288593292236, test accuracy: 0.6464285850524902
epoch: [75/1000], training loss: 2.4007462079708395, train accuracy: 0.6306310892105103, test loss: 4.886910438537598, test accuracy: 0.6178571581840515
epoch: [76/1000], training loss: 2.4879337426943655, train accuracy: 0.6100417375564575, test loss: 3.6807878017425537, test accuracy: 0.6360119581222534
epoch: [77/1000], training loss: 1.5773604053717394, train accuracy: 0.6386849880218506, test loss: 1.9595733880996704, test accuracy: 0.6455357670783997
epoch: [78/1000], training loss: 1.1481659809748332, train accuracy: 0.6554045677185059, test loss: 1.8167245388031006, test accuracy: 0.6672619581222534
epoch: [79/1000], training loss: 0.8271502944139334, train accuracy: 0.6837667226791382, test loss: 1.0380949974060059, test accuracy: 0.7041666507720947
epoch: [80/1000], training loss: 0.8942803205587925, train accuracy: 0.682245135307312, test loss: 1.2125697135925293, test accuracy: 0.6776785850524902
epoch: [81/1000], training loss: 0.7165617239780915, train accuracy: 0.6962857246398926, test loss: 1.0561904907226562, test accuracy: 0.6994047164916992
epoch: [82/1000], training loss: 0.5065094331900278, train accuracy: 0.7100615501403809, test loss: 0.9492803812026978, test accuracy: 0.7154762148857117
epoch: [83/1000], training loss: 0.37655583597146547, train accuracy: 0.7310808897018433, test loss: 0.5821622014045715, test accuracy: 0.7366071939468384
epoch: [84/1000], training loss: 0.2884728423295877, train accuracy: 0.7500330805778503, test loss: 1.0013493299484253, test accuracy: 0.742559552192688
epoch: [85/1000], training loss: 0.2384013050259688, train accuracy: 0.7558543682098389, test loss: 0.7226108908653259, test accuracy: 0.7577381134033203
epoch: [86/1000], training loss: 0.1937695344289144, train accuracy: 0.7724416255950928, test loss: 0.6340577602386475, test accuracy: 0.7696428298950195
epoch: [87/1000], training loss: 0.1543075946661142, train accuracy: 0.7877554893493652, test loss: 0.4757406711578369, test accuracy: 0.7752976417541504
epoch: [88/1000], training loss: 0.12912742239542496, train accuracy: 0.797810435295105, test loss: 0.6980891227722168, test accuracy: 0.7794643640518188
epoch: [89/1000], training loss: 0.11812112786066838, train accuracy: 0.8045578002929688, test loss: 0.4228127598762512, test accuracy: 0.7839285731315613
epoch: [90/1000], training loss: 0.10270765041693664, train accuracy: 0.814232349395752, test loss: 0.6421034336090088, test accuracy: 0.7970238924026489
epoch: [91/1000], training loss: 0.09246052448184063, train accuracy: 0.8200370669364929, test loss: 0.48180586099624634, test accuracy: 0.7997023463249207
epoch: [92/1000], training loss: 0.08269406167360452, train accuracy: 0.827743649482727, test loss: 0.48937755823135376, test accuracy: 0.7994047999382019
epoch: [93/1000], training loss: 0.07472540667423835, train accuracy: 0.8349871039390564, test loss: 0.48276448249816895, test accuracy: 0.805059552192688
epoch: [94/1000], training loss: 0.06889420298811717, train accuracy: 0.8403122425079346, test loss: 0.4330216944217682, test accuracy: 0.8002976179122925
epoch: [95/1000], training loss: 0.06262364505957334, train accuracy: 0.8474565744400024, test loss: 0.43479931354522705, test accuracy: 0.8160715103149414
epoch: [96/1000], training loss: 0.05953683226536482, train accuracy: 0.8539890050888062, test loss: 0.41726288199424744, test accuracy: 0.8163690567016602
epoch: [97/1000], training loss: 0.054110532674269796, train accuracy: 0.8583053350448608, test loss: 0.38145095109939575, test accuracy: 0.8166667222976685
epoch: [98/1000], training loss: 0.049829629178230576, train accuracy: 0.8654329776763916, test loss: 0.43237560987472534, test accuracy: 0.8223214149475098
epoch: [99/1000], training loss: 0.04931188040436842, train accuracy: 0.8677482604980469, test loss: 0.41239452362060547, test accuracy: 0.8205357789993286
epoch: [100/1000], training loss: 0.04703379632570805, train accuracy: 0.8705762624740601, test loss: 0.4035676121711731, test accuracy: 0.8279762268066406
epoch: [101/1000], training loss: 0.046376040539680384, train accuracy: 0.8727922439575195, test loss: 0.3689633905887604, test accuracy: 0.8279762268066406
epoch: [102/1000], training loss: 0.043200007950266205, train accuracy: 0.8756698369979858, test loss: 0.4384458363056183, test accuracy: 0.8282737731933594
epoch: [103/1000], training loss: 0.042317645863080636, train accuracy: 0.8798372745513916, test loss: 0.3499305844306946, test accuracy: 0.8351191282272339
epoch: [104/1000], training loss: 0.04004183879647499, train accuracy: 0.8830456137657166, test loss: 0.5539849400520325, test accuracy: 0.8300595283508301
epoch: [105/1000], training loss: 0.03995124174234194, train accuracy: 0.8854765892028809, test loss: 0.29530081152915955, test accuracy: 0.8318452835083008
epoch: [106/1000], training loss: 0.03524259922023003, train accuracy: 0.8919097781181335, test loss: 0.5143683552742004, test accuracy: 0.8383929133415222
epoch: [107/1000], training loss: 0.03630298557571876, train accuracy: 0.8907191157341003, test loss: 0.391968309879303, test accuracy: 0.8389880657196045
epoch: [108/1000], training loss: 0.03524658208092054, train accuracy: 0.8895449042320251, test loss: 0.4736335277557373, test accuracy: 0.831845223903656
epoch: [109/1000], training loss: 0.034029549322067164, train accuracy: 0.894373893737793, test loss: 0.3470112681388855, test accuracy: 0.8392857313156128
epoch: [110/1000], training loss: 0.03157377085433556, train accuracy: 0.9003936648368835, test loss: 0.5283197164535522, test accuracy: 0.8449405431747437
epoch: [111/1000], training loss: 0.032589199308019415, train accuracy: 0.9023616313934326, test loss: 0.3613256812095642, test accuracy: 0.8345238566398621
epoch: [112/1000], training loss: 0.03563939202099274, train accuracy: 0.8957796096801758, test loss: 0.2619127929210663, test accuracy: 0.8407738208770752
epoch: [113/1000], training loss: 0.03785916895438463, train accuracy: 0.8959118723869324, test loss: 0.3327397108078003, test accuracy: 0.8345238566398621
epoch: [114/1000], training loss: 0.03873610424880798, train accuracy: 0.8961930274963379, test loss: 0.30570414662361145, test accuracy: 0.8366071581840515
epoch: [115/1000], training loss: 0.039231933414553985, train accuracy: 0.8946220278739929, test loss: 0.31144586205482483, test accuracy: 0.8375000357627869
epoch: [116/1000], training loss: 0.04774027332090414, train accuracy: 0.8870311975479126, test loss: 0.3179745674133301, test accuracy: 0.8220238089561462
epoch: [117/1000], training loss: 0.06529144025765933, train accuracy: 0.8714030981063843, test loss: 0.3588307797908783, test accuracy: 0.8125
epoch: [118/1000], training loss: 0.08299011269058937, train accuracy: 0.8565026521682739, test loss: 0.3767198324203491, test accuracy: 0.8184523582458496
epoch: [119/1000], training loss: 0.06056855542537493, train accuracy: 0.8673844337463379, test loss: 0.4876551628112793, test accuracy: 0.836309552192688
epoch: [120/1000], training loss: 0.05186698662164884, train accuracy: 0.8779188990592957, test loss: 0.3811466097831726, test accuracy: 0.8354166746139526
epoch: [121/1000], training loss: 0.052192604599090725, train accuracy: 0.880895733833313, test loss: 0.6469721794128418, test accuracy: 0.8190476298332214
epoch: [122/1000], training loss: 0.05649086875984302, train accuracy: 0.878150463104248, test loss: 0.23592817783355713, test accuracy: 0.8398809432983398
epoch: [123/1000], training loss: 0.041723739403562665, train accuracy: 0.8886849284172058, test loss: 0.39731067419052124, test accuracy: 0.8315476179122925
epoch: [124/1000], training loss: 0.03494667691680101, train accuracy: 0.8968380689620972, test loss: 0.2848649024963379, test accuracy: 0.84375
epoch: [125/1000], training loss: 0.02691081280891712, train accuracy: 0.9074552059173584, test loss: 0.266798198223114, test accuracy: 0.8523809909820557
epoch: [126/1000], training loss: 0.02375839841671479, train accuracy: 0.918766975402832, test loss: 0.3293687701225281, test accuracy: 0.8508929014205933
epoch: [127/1000], training loss: 0.02362745150159567, train accuracy: 0.9197758436203003, test loss: 0.4083445072174072, test accuracy: 0.8502976298332214
epoch: [128/1000], training loss: 0.022063239835775815, train accuracy: 0.9226367473602295, test loss: 0.2735345661640167, test accuracy: 0.8586310148239136
epoch: [129/1000], training loss: 0.019933837848022964, train accuracy: 0.9296984076499939, test loss: 0.35816025733947754, test accuracy: 0.8586310148239136
epoch: [130/1000], training loss: 0.022019713567808654, train accuracy: 0.9269697070121765, test loss: 0.30920180678367615, test accuracy: 0.8514881134033203
epoch: [131/1000], training loss: 0.020535699139611844, train accuracy: 0.926440417766571, test loss: 0.3472377359867096, test accuracy: 0.8580357432365417
epoch: [132/1000], training loss: 0.01918005857330102, train accuracy: 0.9330886602401733, test loss: 0.3587421774864197, test accuracy: 0.8511905074119568
epoch: [133/1000], training loss: 0.0194003670834578, train accuracy: 0.9304425716400146, test loss: 0.3130052089691162, test accuracy: 0.8580357432365417
epoch: [134/1000], training loss: 0.01721403719140933, train accuracy: 0.9380003213882446, test loss: 0.31437790393829346, test accuracy: 0.860714316368103
epoch: [135/1000], training loss: 0.020407671228242226, train accuracy: 0.9370741844177246, test loss: 0.3217771053314209, test accuracy: 0.8580357432365417
epoch: [136/1000], training loss: 0.01819784423479667, train accuracy: 0.933419406414032, test loss: 0.29031747579574585, test accuracy: 0.8538690805435181
epoch: [137/1000], training loss: 0.01924772226275542, train accuracy: 0.9321624636650085, test loss: 0.3541211485862732, test accuracy: 0.856249988079071
epoch: [138/1000], training loss: 0.017074725924967192, train accuracy: 0.9375538229942322, test loss: 0.29836055636405945, test accuracy: 0.8622023463249207
epoch: [139/1000], training loss: 0.01725197079567573, train accuracy: 0.9403982162475586, test loss: 0.3798835873603821, test accuracy: 0.8586310148239136
epoch: [140/1000], training loss: 0.018342185741624772, train accuracy: 0.9348582029342651, test loss: 0.3095877766609192, test accuracy: 0.8601190447807312
epoch: [141/1000], training loss: 0.0269089313223958, train accuracy: 0.9274657964706421, test loss: 0.31511563062667847, test accuracy: 0.8514881134033203
epoch: [142/1000], training loss: 0.02632189231614272, train accuracy: 0.9222564697265625, test loss: 0.2561981976032257, test accuracy: 0.8553571701049805
epoch: [143/1000], training loss: 0.03358941109707722, train accuracy: 0.9143184423446655, test loss: 0.24888232350349426, test accuracy: 0.8443452715873718
epoch: [144/1000], training loss: 0.03780625144449564, train accuracy: 0.8987067937850952, test loss: 0.41226497292518616, test accuracy: 0.8476190567016602
epoch: [145/1000], training loss: 0.03533537986759956, train accuracy: 0.9062479734420776, test loss: 0.4730798304080963, test accuracy: 0.8395833373069763
epoch: [146/1000], training loss: 0.04027180411876776, train accuracy: 0.8991036415100098, test loss: 0.24516746401786804, test accuracy: 0.8360118865966797
epoch: [147/1000], training loss: 0.08329866387141056, train accuracy: 0.8509790897369385, test loss: 0.4399148225784302, test accuracy: 0.8154761791229248
epoch: [148/1000], training loss: 0.12367891816374584, train accuracy: 0.8328372240066528, test loss: 0.6525951027870178, test accuracy: 0.7925595641136169
epoch: [149/1000], training loss: 0.16686369555118757, train accuracy: 0.8048555254936218, test loss: 0.43882644176483154, test accuracy: 0.8011905550956726
epoch: [150/1000], training loss: 0.15595095795698655, train accuracy: 0.8122808933258057, test loss: 0.8124665021896362, test accuracy: 0.7985119819641113
epoch: [151/1000], training loss: 0.11457158720646149, train accuracy: 0.8283720016479492, test loss: 0.5312789678573608, test accuracy: 0.810119092464447
epoch: [152/1000], training loss: 0.08845424069425999, train accuracy: 0.8574949502944946, test loss: 0.48467934131622314, test accuracy: 0.8252977132797241
epoch: [153/1000], training loss: 0.13427817993439162, train accuracy: 0.8388569355010986, test loss: 0.33687567710876465, test accuracy: 0.8125
epoch: [154/1000], training loss: 0.09313171395124534, train accuracy: 0.8452073931694031, test loss: 0.36893853545188904, test accuracy: 0.8226190805435181
epoch: [155/1000], training loss: 0.0936016308573576, train accuracy: 0.8490772247314453, test loss: 0.35565564036369324, test accuracy: 0.8336309790611267
epoch: [156/1000], training loss: 0.06560703462515122, train accuracy: 0.8646060824394226, test loss: 0.309711754322052, test accuracy: 0.8398809432983398
epoch: [157/1000], training loss: 0.05123309399455021, train accuracy: 0.8835582733154297, test loss: 0.380315363407135, test accuracy: 0.8488095998764038
epoch: [158/1000], training loss: 0.04438119926131689, train accuracy: 0.8956307768821716, test loss: 0.34585273265838623, test accuracy: 0.853273868560791
epoch: [159/1000], training loss: 0.041190323109428086, train accuracy: 0.8992029428482056, test loss: 0.25088733434677124, test accuracy: 0.8577381372451782
epoch: [160/1000], training loss: 0.029600839727582075, train accuracy: 0.9090428352355957, test loss: 0.39254510402679443, test accuracy: 0.8538690805435181
epoch: [161/1000], training loss: 0.02127353973591175, train accuracy: 0.9246212840080261, test loss: 0.23891420662403107, test accuracy: 0.8675596117973328
epoch: [162/1000], training loss: 0.015507228791904755, train accuracy: 0.9384137392044067, test loss: 0.3853510916233063, test accuracy: 0.8693453073501587
epoch: [163/1000], training loss: 0.013728067756463319, train accuracy: 0.9430939555168152, test loss: 0.3232515752315521, test accuracy: 0.8711309432983398
epoch: [164/1000], training loss: 0.012849561989498444, train accuracy: 0.9478732943534851, test loss: 0.4772493243217468, test accuracy: 0.8729166984558105
epoch: [165/1000], training loss: 0.010981942479236003, train accuracy: 0.9553648829460144, test loss: 0.29240432381629944, test accuracy: 0.8708333373069763
epoch: [166/1000], training loss: 0.009038548880758194, train accuracy: 0.9615499377250671, test loss: 0.34740740060806274, test accuracy: 0.874404788017273
epoch: [167/1000], training loss: 0.007831917526439214, train accuracy: 0.9664450883865356, test loss: 0.31479591131210327, test accuracy: 0.8773809671401978
epoch: [168/1000], training loss: 0.007163095168578319, train accuracy: 0.9695872664451599, test loss: 0.3776719570159912, test accuracy: 0.8752975463867188
epoch: [169/1000], training loss: 0.006690527533348172, train accuracy: 0.9712905883789062, test loss: 0.2780829668045044, test accuracy: 0.8755952715873718
epoch: [170/1000], training loss: 0.006095139226183677, train accuracy: 0.9749950170516968, test loss: 0.3234836459159851, test accuracy: 0.8785714507102966
epoch: [171/1000], training loss: 0.005713187181987824, train accuracy: 0.9771945476531982, test loss: 0.3134198784828186, test accuracy: 0.8800595998764038
epoch: [172/1000], training loss: 0.0053733155035819765, train accuracy: 0.9790138006210327, test loss: 0.3286300301551819, test accuracy: 0.881845235824585
epoch: [173/1000], training loss: 0.005466887010977819, train accuracy: 0.9791625738143921, test loss: 0.30504485964775085, test accuracy: 0.8797619342803955
epoch: [174/1000], training loss: 0.005981591798794957, train accuracy: 0.9779883623123169, test loss: 0.2850485146045685, test accuracy: 0.8800595998764038
epoch: [175/1000], training loss: 0.00612412055190175, train accuracy: 0.9764835238456726, test loss: 0.31584739685058594, test accuracy: 0.8806548118591309
epoch: [176/1000], training loss: 0.006686360312578006, train accuracy: 0.9753919839859009, test loss: 0.3309805989265442, test accuracy: 0.8773810267448425
epoch: [177/1000], training loss: 0.007707727046158069, train accuracy: 0.9715056419372559, test loss: 0.282095730304718, test accuracy: 0.8773809671401978
epoch: [178/1000], training loss: 0.014514252937470492, train accuracy: 0.9562248587608337, test loss: 0.3126981854438782, test accuracy: 0.875
epoch: [179/1000], training loss: 0.023637951638263006, train accuracy: 0.9433915615081787, test loss: 0.44489648938179016, test accuracy: 0.8529762029647827
epoch: [180/1000], training loss: 0.04280304173246408, train accuracy: 0.900112509727478, test loss: 0.3614565134048462, test accuracy: 0.8627976775169373
epoch: [181/1000], training loss: 0.029953141672871053, train accuracy: 0.9157736301422119, test loss: 0.32639166712760925, test accuracy: 0.8577381372451782
epoch: [182/1000], training loss: 0.022416804272394914, train accuracy: 0.9306740760803223, test loss: 0.32071197032928467, test accuracy: 0.8723214864730835
epoch: [183/1000], training loss: 0.02156987461524132, train accuracy: 0.9337667226791382, test loss: 0.28054308891296387, test accuracy: 0.8666666746139526
epoch: [184/1000], training loss: 0.02129036118873419, train accuracy: 0.9390255808830261, test loss: 0.511323094367981, test accuracy: 0.8616071939468384
epoch: [185/1000], training loss: 0.026718180149029463, train accuracy: 0.9274823069572449, test loss: 0.34652984142303467, test accuracy: 0.8693451881408691
epoch: [186/1000], training loss: 0.0213759797744644, train accuracy: 0.9366938471794128, test loss: 0.278934508562088, test accuracy: 0.8684524297714233
epoch: [187/1000], training loss: 0.018860451638316497, train accuracy: 0.9383310675621033, test loss: 0.2394724041223526, test accuracy: 0.8741072416305542
epoch: [188/1000], training loss: 0.01593300162886198, train accuracy: 0.9444334506988525, test loss: 0.30148589611053467, test accuracy: 0.8705357313156128
epoch: [189/1000], training loss: 0.017115517352253962, train accuracy: 0.9428458213806152, test loss: 0.36550021171569824, test accuracy: 0.8738095164299011
epoch: [190/1000], training loss: 0.022251628124370024, train accuracy: 0.9386452436447144, test loss: 0.33897435665130615, test accuracy: 0.8535714149475098
epoch: [191/1000], training loss: 0.033118668322761856, train accuracy: 0.9141860008239746, test loss: 0.26440417766571045, test accuracy: 0.8538690805435181
epoch: [192/1000], training loss: 0.03815504471556498, train accuracy: 0.9053880572319031, test loss: 0.39364802837371826, test accuracy: 0.8669642806053162
epoch: [193/1000], training loss: 0.03171245577052618, train accuracy: 0.9128134250640869, test loss: 0.41140884160995483, test accuracy: 0.8678571581840515
epoch: [194/1000], training loss: 0.02642620801448058, train accuracy: 0.9254481792449951, test loss: 0.4038751721382141, test accuracy: 0.8651785850524902
epoch: [195/1000], training loss: 0.024718166090165958, train accuracy: 0.9304260611534119, test loss: 0.2543153464794159, test accuracy: 0.8758928775787354
epoch: [196/1000], training loss: 0.02733750161356651, train accuracy: 0.9259443283081055, test loss: 0.23387259244918823, test accuracy: 0.8547619581222534
epoch: [197/1000], training loss: 0.032539181888867647, train accuracy: 0.9114407896995544, test loss: 0.3710441589355469, test accuracy: 0.8630952835083008
epoch: [198/1000], training loss: 0.03301292853668714, train accuracy: 0.9209830164909363, test loss: 0.42314738035202026, test accuracy: 0.8645833730697632
epoch: [199/1000], training loss: 0.03245683823927091, train accuracy: 0.9138883352279663, test loss: 0.33255434036254883, test accuracy: 0.8627976179122925
